unit_id,powiat,wojewodztwo,rok,unemployment_rate,crimes_total_per_1000,property_crimes_per_1000,violent_crimes_per_1000,crime_minus_unemployment
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2014,3.9,24.72,11.64,0.52,20.82
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2015,2.7,18.73,9.76,0.29,16.03
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2016,4.0,18.51,8.51,0.36,14.510000000000002
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2017,3.5,18.5,5.9,0.51,15.0
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2018,3.7,22.08,8.22,0.56,18.38
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2019,3.6,25.82,8.38,0.54,22.22
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2020,3.1,27.73,10.39,0.4,24.63
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2021,3.1,24.17,7.81,0.28,21.07
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2022,3.0,21.06,7.46,0.24,18.06
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2023,3.2,26.67,11.77,0.39,23.470000000000002
040410801000,Powiat aleksandrowski,Kujawsko-Pomorskie,2024,4.0,23.25,9.58,0.41,19.25
062013901000,Powiat augustowski,Lubelskie,2014,4.3,20.84,13.47,0.52,16.54
062013901000,Powiat augustowski,Lubelskie,2015,4.7,16.15,8.22,0.86,11.45
062013901000,Powiat augustowski,Lubelskie,2016,4.1,14.66,6.86,0.92,10.56
062013901000,Powiat augustowski,Lubelskie,2017,3.8,13.76,6.13,0.58,9.96
062013901000,Powiat augustowski,Lubelskie,2018,3.4,14.75,6.89,0.63,11.35
062013901000,Powiat augustowski,Lubelskie,2019,3.5,13.01,5.55,0.55,9.51
062013901000,Powiat augustowski,Lubelskie,2020,3.4,13.42,4.59,0.46,10.02
062013901000,Powiat augustowski,Lubelskie,2021,2.4,16.1,3.92,0.32,13.700000000000001
062013901000,Powiat augustowski,Lubelskie,2022,4.2,19.57,4.66,0.34,15.370000000000001
062013901000,Powiat augustowski,Lubelskie,2023,3.3,18.59,7.82,0.35,15.29
062013901000,Powiat augustowski,Lubelskie,2024,4.5,12.22,5.38,0.41,7.720000000000001
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2014,3.6,18.58,8.3,0.55,14.979999999999999
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2015,3.3,15.11,7.05,0.52,11.809999999999999
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2016,3.0,15.36,6.04,0.78,12.36
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2017,2.8,13.55,5.01,0.82,10.75
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2018,3.0,16.0,5.83,0.69,13.0
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2019,3.8,16.15,4.63,0.57,12.349999999999998
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2020,2.7,16.46,4.66,0.51,13.760000000000002
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2021,3.4,18.09,7.36,0.44,14.69
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2022,4.1,16.38,7.0,0.41,12.28
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2023,3.0,14.91,5.61,0.55,11.91
042815601000,Powiat bartoszycki,Kujawsko-Pomorskie,2024,3.5,34.56,5.12,0.31,31.060000000000002
051011701000,Powiat bełchatowski,Nieznane,2014,5.5,23.46,11.45,0.73,17.96
051011701000,Powiat bełchatowski,Nieznane,2015,4.9,18.29,8.65,0.57,13.389999999999999
051011701000,Powiat bełchatowski,Nieznane,2016,4.4,20.44,8.33,0.66,16.04
051011701000,Powiat bełchatowski,Nieznane,2017,4.2,16.76,7.09,0.62,12.560000000000002
051011701000,Powiat bełchatowski,Nieznane,2018,3.2,16.68,6.96,0.57,13.48
051011701000,Powiat bełchatowski,Nieznane,2019,3.7,19.84,10.09,0.56,16.14
