unit_id,powiat,wojewodztwo,rok,value
011212001000,Powiat bocheński,Nieznane,2014,15.29
011212001000,Powiat bocheński,Nieznane,2015,14.39
011212001000,Powiat bocheński,Nieznane,2016,15.72
011212001000,Powiat bocheński,Nieznane,2017,20.11
011212001000,Powiat bocheński,Nieznane,2018,60.08
011212001000,Powiat bocheński,Nieznane,2019,19.06
011212001000,Powiat bocheński,Nieznane,2020,19.04
011212001000,Powiat bocheński,Nieznane,2021,31.83
011212001000,Powiat bocheński,Nieznane,2022,17.77
011212001000,Powiat bocheński,Nieznane,2023,14.38
011212001000,Powiat bocheński,Nieznane,2024,34.11
011212006000,Powiat krakowski,Nieznane,2014,14.24
011212006000,Powiat krakowski,Nieznane,2015,14.06
011212006000,Powiat krakowski,Nieznane,2016,11.1
011212006000,Powiat krakowski,Nieznane,2017,14.15
011212006000,Powiat krakowski,Nieznane,2018,12.89
011212006000,Powiat krakowski,Nieznane,2019,34.34
011212006000,Powiat krakowski,Nieznane,2020,14.82
011212006000,Powiat krakowski,Nieznane,2021,10.42
011212006000,Powiat krakowski,Nieznane,2022,9.9
011212006000,Powiat krakowski,Nieznane,2023,9.42
011212006000,Powiat krakowski,Nieznane,2024,8.89
011212008000,Powiat miechowski,Nieznane,2014,18.31
011212008000,Powiat miechowski,Nieznane,2015,15.92
011212008000,Powiat miechowski,Nieznane,2016,15.99
011212008000,Powiat miechowski,Nieznane,2017,16.18
011212008000,Powiat miechowski,Nieznane,2018,13.19
011212008000,Powiat miechowski,Nieznane,2019,12.03
011212008000,Powiat miechowski,Nieznane,2020,17.57
011212008000,Powiat miechowski,Nieznane,2021,18.71
011212008000,Powiat miechowski,Nieznane,2022,15.86
011212008000,Powiat miechowski,Nieznane,2023,17.44
011212008000,Powiat miechowski,Nieznane,2024,15.43
011212009000,Powiat myślenicki,Nieznane,2014,11.48
011212009000,Powiat myślenicki,Nieznane,2015,9.88
011212009000,Powiat myślenicki,Nieznane,2016,9.46
011212009000,Powiat myślenicki,Nieznane,2017,8.94
011212009000,Powiat myślenicki,Nieznane,2018,10.01
011212009000,Powiat myślenicki,Nieznane,2019,11.8
011212009000,Powiat myślenicki,Nieznane,2020,10.39
011212009000,Powiat myślenicki,Nieznane,2021,11.24
011212009000,Powiat myślenicki,Nieznane,2022,12.18
011212009000,Powiat myślenicki,Nieznane,2023,8.94
011212009000,Powiat myślenicki,Nieznane,2024,10.98
011212014000,Powiat proszowicki,Nieznane,2014,8.9
011212014000,Powiat proszowicki,Nieznane,2015,9.71
011212014000,Powiat proszowicki,Nieznane,2016,11.1
011212014000,Powiat proszowicki,Nieznane,2017,7.59
011212014000,Powiat proszowicki,Nieznane,2018,8.92
011212014000,Powiat proszowicki,Nieznane,2019,8.32
011212014000,Powiat proszowicki,Nieznane,2020,7.3
011212014000,Powiat proszowicki,Nieznane,2021,7.83
011212014000,Powiat proszowicki,Nieznane,2022,7.79
011212014000,Powiat proszowicki,Nieznane,2023,6.22
011212014000,Powiat proszowicki,Nieznane,2024,8.66
011212019000,Powiat wielicki,Nieznane,2014,13.84
011212019000,Powiat wielicki,Nieznane,2015,12.64
011212019000,Powiat wielicki,Nieznane,2016,12.14
011212019000,Powiat wielicki,Nieznane,2017,10.67
011212019000,Powiat wielicki,Nieznane,2018,13.22
011212019000,Powiat wielicki,Nieznane,2019,17.38
011212019000,Powiat wielicki,Nieznane,2020,15.01
011212019000,Powiat wielicki,Nieznane,2021,14.82
011212019000,Powiat wielicki,Nieznane,2022,16.31
011212019000,Powiat wielicki,Nieznane,2023,12.53
011212019000,Powiat wielicki,Nieznane,2024,10.32
011212161000,Powiat m. Kraków,Nieznane,2014,34.66
011212161000,Powiat m. Kraków,Nieznane,2015,31.93
011212161000,Powiat m. Kraków,Nieznane,2016,31.09
011212161000,Powiat m. Kraków,Nieznane,2017,39.4
011212161000,Powiat m. Kraków,Nieznane,2018,23.53
011212161000,Powiat m. Kraków,Nieznane,2019,25.22
011212161000,Powiat m. Kraków,Nieznane,2020,21.98
011212161000,Powiat m. Kraków,Nieznane,2021,23.88
011212161000,Powiat m. Kraków,Nieznane,2022,27.18
011212161000,Powiat m. Kraków,Nieznane,2023,30.92
011212161000,Powiat m. Kraków,Nieznane,2024,25.46
011212205000,Powiat gorlicki,Nieznane,2014,11.11
011212205000,Powiat gorlicki,Nieznane,2015,9.98
011212205000,Powiat gorlicki,Nieznane,2016,13.98
011212205000,Powiat gorlicki,Nieznane,2017,11.76
011212205000,Powiat gorlicki,Nieznane,2018,17.78
011212205000,Powiat gorlicki,Nieznane,2019,29.04
011212205000,Powiat gorlicki,Nieznane,2020,25.0
011212205000,Powiat gorlicki,Nieznane,2021,16.33
011212205000,Powiat gorlicki,Nieznane,2022,27.86
011212205000,Powiat gorlicki,Nieznane,2023,14.55
011212205000,Powiat gorlicki,Nieznane,2024,12.69
011212207000,Powiat limanowski,Nieznane,2014,13.29
011212207000,Powiat limanowski,Nieznane,2015,9.64
011212207000,Powiat limanowski,Nieznane,2016,14.38
011212207000,Powiat limanowski,Nieznane,2017,11.1
011212207000,Powiat limanowski,Nieznane,2018,10.32
011212207000,Powiat limanowski,Nieznane,2019,11.81
011212207000,Powiat limanowski,Nieznane,2020,11.23
011212207000,Powiat limanowski,Nieznane,2021,19.18
011212207000,Powiat limanowski,Nieznane,2022,14.12
011212207000,Powiat limanowski,Nieznane,2023,10.56
011212207000,Powiat limanowski,Nieznane,2024,9.18
011212210000,Powiat nowosądecki,Nieznane,2014,15.35
011212210000,Powiat nowosądecki,Nieznane,2015,19.65
