unit_id,powiat,wojewodztwo,rok,value
011212001000,Powiat bocheński,Nieznane,2014,9.4
011212001000,Powiat bocheński,Nieznane,2015,8.3
011212001000,Powiat bocheński,Nieznane,2016,6.6
011212001000,Powiat bocheński,Nieznane,2017,3.4
011212001000,Powiat bocheński,Nieznane,2018,4.2
011212001000,Powiat bocheński,Nieznane,2019,5.5
011212001000,Powiat bocheński,Nieznane,2020,7.2
011212001000,Powiat bocheński,Nieznane,2021,4.4
011212001000,Powiat bocheński,Nieznane,2022,4.3
011212001000,Powiat bocheński,Nieznane,2023,6.2
011212001000,Powiat bocheński,Nieznane,2024,8.4
011212006000,Powiat krakowski,Nieznane,2014,5.9
011212006000,Powiat krakowski,Nieznane,2015,5.2
011212006000,Powiat krakowski,Nieznane,2016,5.2
011212006000,Powiat krakowski,Nieznane,2017,4.6
011212006000,Powiat krakowski,Nieznane,2018,4.7
011212006000,Powiat krakowski,Nieznane,2019,4.7
011212006000,Powiat krakowski,Nieznane,2020,5.3
011212006000,Powiat krakowski,Nieznane,2021,4.1
011212006000,Powiat krakowski,Nieznane,2022,5.7
011212006000,Powiat krakowski,Nieznane,2023,4.6
011212006000,Powiat krakowski,Nieznane,2024,4.6
011212008000,Powiat miechowski,Nieznane,2014,8.6
011212008000,Powiat miechowski,Nieznane,2015,8.1
011212008000,Powiat miechowski,Nieznane,2016,7.7
011212008000,Powiat miechowski,Nieznane,2017,5.2
011212008000,Powiat miechowski,Nieznane,2018,5.2
011212008000,Powiat miechowski,Nieznane,2019,5.3
011212008000,Powiat miechowski,Nieznane,2020,8.6
011212008000,Powiat miechowski,Nieznane,2021,7.8
011212008000,Powiat miechowski,Nieznane,2022,9.3
011212008000,Powiat miechowski,Nieznane,2023,8.4
011212008000,Powiat miechowski,Nieznane,2024,7.1
011212009000,Powiat myślenicki,Nieznane,2014,8.8
011212009000,Powiat myślenicki,Nieznane,2015,8.5
011212009000,Powiat myślenicki,Nieznane,2016,8.6
011212009000,Powiat myślenicki,Nieznane,2017,6.8
011212009000,Powiat myślenicki,Nieznane,2018,8.5
011212009000,Powiat myślenicki,Nieznane,2019,7.7
011212009000,Powiat myślenicki,Nieznane,2020,9.6
011212009000,Powiat myślenicki,Nieznane,2021,7.4
011212009000,Powiat myślenicki,Nieznane,2022,9.8
011212009000,Powiat myślenicki,Nieznane,2023,8.1
011212009000,Powiat myślenicki,Nieznane,2024,9.2
011212014000,Powiat proszowicki,Nieznane,2014,9.8
011212014000,Powiat proszowicki,Nieznane,2015,8.9
011212014000,Powiat proszowicki,Nieznane,2016,8.4
011212014000,Powiat proszowicki,Nieznane,2017,8.0
011212014000,Powiat proszowicki,Nieznane,2018,6.4
011212014000,Powiat proszowicki,Nieznane,2019,7.0
011212014000,Powiat proszowicki,Nieznane,2020,10.1
011212014000,Powiat proszowicki,Nieznane,2021,8.2
011212014000,Powiat proszowicki,Nieznane,2022,11.5
011212014000,Powiat proszowicki,Nieznane,2023,9.1
011212014000,Powiat proszowicki,Nieznane,2024,8.1
011212019000,Powiat wielicki,Nieznane,2014,5.4
011212019000,Powiat wielicki,Nieznane,2015,6.0
011212019000,Powiat wielicki,Nieznane,2016,4.6
011212019000,Powiat wielicki,Nieznane,2017,3.9
011212019000,Powiat wielicki,Nieznane,2018,4.2
011212019000,Powiat wielicki,Nieznane,2019,3.6
011212019000,Powiat wielicki,Nieznane,2020,4.1
011212019000,Powiat wielicki,Nieznane,2021,4.0
011212019000,Powiat wielicki,Nieznane,2022,5.5
011212019000,Powiat wielicki,Nieznane,2023,4.2
011212019000,Powiat wielicki,Nieznane,2024,4.6
011212161000,Powiat m. Kraków,Nieznane,2014,3.7
011212161000,Powiat m. Kraków,Nieznane,2015,3.1
011212161000,Powiat m. Kraków,Nieznane,2016,3.0
011212161000,Powiat m. Kraków,Nieznane,2017,2.8
011212161000,Powiat m. Kraków,Nieznane,2018,2.5
011212161000,Powiat m. Kraków,Nieznane,2019,2.9
011212161000,Powiat m. Kraków,Nieznane,2020,2.4
011212161000,Powiat m. Kraków,Nieznane,2021,1.6
011212161000,Powiat m. Kraków,Nieznane,2022,2.2
011212161000,Powiat m. Kraków,Nieznane,2023,2.7
011212161000,Powiat m. Kraków,Nieznane,2024,2.9
011212205000,Powiat gorlicki,Nieznane,2014,7.4
011212205000,Powiat gorlicki,Nieznane,2015,6.9
011212205000,Powiat gorlicki,Nieznane,2016,4.5
011212205000,Powiat gorlicki,Nieznane,2017,4.3
011212205000,Powiat gorlicki,Nieznane,2018,5.3
011212205000,Powiat gorlicki,Nieznane,2019,6.7
011212205000,Powiat gorlicki,Nieznane,2020,6.3
011212205000,Powiat gorlicki,Nieznane,2021,5.1
011212205000,Powiat gorlicki,Nieznane,2022,8.8
011212205000,Powiat gorlicki,Nieznane,2023,7.7
011212205000,Powiat gorlicki,Nieznane,2024,8.1
